ID,Algal.Mat.Coverage,Cl_mgL,Dam.Upstream.Site,del18O_permil,del2H_permil,Depositional.Type,F_mgL,General_Vegetation,Hydrogeomorphology,Intermittent_or_Perennial,Macrophyte.Coverage,NO2_mgL,NO3_mgL,NPOC_mg.L.asC,Number.Days.Since.Precip,Precipitation.Within.Week,Primary.Sources.Flow.Variation,resprate_mg.L.h,Sediment_Bedrock,Stream_Order,Sunlight.Access_Perc.Canopy.Cover,Water.Column.Height_cm,altS,MAT,MAP,cluster
SED_S19S.0050_U_Field,3,0.38,1,-18.68,-142.4,4,0.04,9,1,3,2,0.04,0.12,17.69,0,1,16,1.93,3,0,4,31,6,18.1,1268,sed_2
SED_S19S.0051_M_Field,3,0.16,1,-17.64,-136.7,3,0.06,3,1,1,1,0.04,1.23,30.18,0,1,21,16.33,3,0,1,3,6,18.1,1268,sed_0
SED_S19S.0051_U_Field,3,0.16,1,-17.64,-136.7,3,0.06,3,1,1,1,0.04,1.23,15.72,0,1,21,0.67,3,0,1,8,6,18.1,1268,sed_1
SED_S19S.0052_D_Field,3,16.75,1,-9.52,-60.3,1,0.04,13,2,1,1,0.04,0.41,16.47,0,3,21,4.71,3,2,2,8.5,46,9.1,549,sed_0
SED_S19S.0052_M_Field,3,16.75,1,-9.52,-60.3,1,0.04,13,2,1,1,0.04,0.41,22.9,0,3,21,16.51,3,2,2,8.5,46,9.1,549,sed_0
SED_S19S.0052_U_Field,3,16.75,1,-9.52,-60.3,1,0.04,13,2,1,1,0.04,0.41,11.65,0,3,21,5.16,3,2,2,9.5,46,9.1,549,sed_2
SED_S19S.0053_D_Field,3,58.81,1,-7.66,-47.6,4,0.05,3,1,3,1,0.04,2.89,12.36,0,3,21,6.05,1,1,4,10,1115,0.4,1450,sed_2
SED_S19S.0053_M_Field,3,58.81,1,-7.66,-47.6,4,0.05,3,1,3,1,0.04,2.89,11.3,0,3,21,13.52,1,1,2,22,1115,0.4,1450,sed_2
SED_S19S.0053_U_Field,3,58.81,1,-7.66,-47.6,4,0.05,3,1,3,1,0.04,2.89,11.13,0,3,21,5.06,1,1,3,19,1115,0.4,1450,sed_2
SED_S19S.0054_D_Field,2,18.79,1,-4.32,-27.4,1,0.08,9,1,1,1,0.04,0.12,11.45,1,1,18,1,2,5,1,40,750,-11.4,225,sed_2
SED_S19S.0054_M_Field,2,18.79,1,-4.32,-27.4,1,0.08,9,1,1,1,0.04,0.12,13.72,1,1,18,1,2,5,1,35,750,-11.4,225,sed_2
SED_S19S.0054_U_Field,3,18.79,1,-4.32,-27.4,1,0.08,9,1,1,2,0.04,0.12,14.2,1,1,18,1,2,5,1,40,750,-11.4,225,sed_0
SED_S19S.0055_D_Field,3,79.08,1,-14.34,-113.1,1,0.39,6,1,1,1,0.04,3.63,27.68,0,2,18,1,3,4,4,30,603,21.8,2421,sed_0
SED_S19S.0055_M_Field,3,79.08,1,-14.34,-113.1,4,0.39,6,1,1,1,0.04,3.63,19.72,0,2,18,1,3,4,3,38,603,21.8,2421,sed_0
SED_S19S.0055_U_Field,3,79.08,1,-14.34,-113.1,1,0.39,6,1,1,1,0.04,3.63,23.65,0,2,18,10.88,3,4,2,40,603,21.8,2421,sed_0
SED_S19S.0056_D_Field,3,17.75,2,-7.68,-58,1,0.15,2,2,1,3,0.07,2.93,14.72,4,1,18,1,1,0,3,20,730,-11.3,225,sed_2
SED_S19S.0056_M_Field,3,17.75,2,-7.68,-58,1,0.15,2,2,1,3,0.07,2.93,8.39,4,1,18,1,1,0,3,20,730,-11.3,225,sed_2
SED_S19S.0056_U_Field,3,17.75,2,-7.68,-58,1,0.15,2,2,1,3,0.07,2.93,6.93,4,1,18,1,1,0,3,20,730,-11.3,225,sed_2
SED_S19S.0057_D_Field,3,1.31,1,-4.13,-20.6,1,0.03,3,3,3,1,0.04,0.12,35.93,6,1,18,1,2,2,4,4,132,-2.8,310,sed_0
SED_S19S.0057_M_Field,3,1.31,1,-4.13,-20.6,1,0.03,3,3,3,1,0.04,0.12,27.23,6,1,18,1,2,2,4,2.1,132,-2.8,310,sed_0
SED_S19S.0057_U_Field,3,1.31,1,-4.13,-20.6,1,0.03,3,3,3,1,0.04,0.12,21.25,6,1,18,1,2,2,4,2,132,-2.8,310,sed_0
SED_S19S.0058_D_Field,3,14.32,1,-6.83,-34.1,3,0.09,18,1,1,1,0.04,7.05,33.83,0,2,18,1,2,0,1,65,417,7.1,1052,sed_0
SED_S19S.0058_U_Field,3,14.32,1,-6.83,-34.1,3,0.09,18,1,1,1,0.04,7.05,18.17,0,2,18,1,2,0,1,68,417,7.1,1052,sed_2
